2014,进,丢,场,胜,平,负,2010,进,丢,场,胜,平,负,2006,进,丢,场,胜,平,负
Germany,18,4,7,6,1,0,Netherlands,12,6,7,6,0,1,Italy,12,2,7,5,2,0
Netherlands,15,4,7,5,2,0,Spain,8,2,7,6,0,1,Germany,14,6,7,5,1,1
Argentina,8,4,7,5,1,1,Germany,16,5,7,5,0,2,France,9,3,7,4,3,0
Brazil,11,14,7,3,2,2,Uruguay,11,8,7,3,2,2,Portugal,7,5,7,4,1,2
Colombia,12,4,5,4,0,1,Argentina,10,6,5,4,0,1,Brazil,10,2,5,4,0,1
Belgium,6,3,5,4,0,1,Brazil,9,4,5,3,1,1,Argentina,11,3,5,3,2,0
France,10,3,5,3,1,1,Ghana,5,4,5,2,2,1,England,6,2,5,3,2,0
Costa Rica,5,2,5,2,3,0,Paraguay,3,2,5,1,3,1,Ukraine,5,7,5,2,1,2
Chile,6,4,4,2,1,1,Japan,4,2,4,2,1,1,Spain,9,4,4,3,0,1
Mexico,5,3,4,2,1,1,Chile,3,5,4,2,0,2,Switzerland,4,0,4,2,2,0
Switzerland,7,7,4,2,0,2,Portugal,7,1,4,1,2,1,Netherlands,3,2,4,2,1,1
Uruguay,4,6,4,2,0,2,USA,5,5,4,1,2,1,Ecuador,5,4,4,2,0,2
Greece,3,5,4,1,2,1,England,3,5,4,1,2,1,Ghana,4,6,4,2,0,2
Algeria,7,7,4,1,1,2,Korea Republic,6,8,4,1,1,2,Sweden,3,4,4,1,2,1
USA,5,6,4,1,1,2,Slovakia,5,7,4,1,1,2,Mexico,5,5,4,1,1,2
Nigeria,3,5,4,1,1,2,Mexico,4,5,4,1,1,2,Australia,5,6,4,1,1,2
Portugal,4,7,3,1,1,1,Côte d'Ivoire,4,3,3,1,1,1,Korea Republic,3,4,3,1,1,1
Ecuador,3,3,3,1,1,1,South Africa,3,5,3,1,1,1,Côte d'Ivoire,5,6,3,1,0,2
